isbn,title,publisher,publication_date,book_format,reading_age,print_length,item_weight,length,width,height,rating,number_of_reviews,price,best_sellers_rank,customer_reviews
9780736430906,Anna's Best Friends (Disney Frozen) (Step into Reading),penguin_random_house,2014-01-07,kindle,toddler,-0.3571450946524672,1.5920718039208057,-0.026469442590152586,-0.4237782030112885,-0.7989890283909412,0.14806235219803623,-0.1953540274369035,-0.39233054307167764,-0.7616894151021392,0.14806235219803623
9781488904455,101 First Words: Animals (refresh),hinkler,,hardcover,,-0.40468980901387247,-0.4439107741959496,-0.3953572977030086,-0.04400512350541805,-0.40263412118873776,0.9114533767202825,-0.2612152436290112,0.12966213047025402,,0.9114533767202825
9798270655884,"Lynnie’s River of Wellbeing. The Mouse Who Listens to Her Heart: A Heartwarming Lesson about Empathy, Friendship, Kindness, Self-Belief, and Teamwork",independently_published,2025-10-21,kindle,preschool,-0.07187680848403577,-0.5975171415435786,0.00019714934571674511,-0.4237782030112885,-0.714055833990469,,,-0.5225838743682573,-0.6222079058070527,
9781405268400,Redstone Handbook (Minecraft),egmont,2013-01-01,hardcover,,-0.024332094122630522,-0.15066225471411243,-0.4886903694785501,-0.15958823465937852,-0.21861219998771475,0.14806235219803623,-0.14072713383620009,-0.0018969986338100908,-0.3615858810940909,0.14806235219803623
9781859974261,Colours and Shapes Wall Chart,autumn,2000-02-01,,,,-0.29728651445503096,5.097960641086027,-2.493266288434581,2.216139372825821,0.5297578644591594,-0.25910880814312287,0.619009858825073,,0.5297578644591594
9781546176183,Dog Man: Big Jim Believes: A Graphic Novel (Dog Man #14): From the Creator of Captain Underpants,graphix,2025-11-11,kindle,preadolescence,0.8314727643826637,0.4079063538227202,-0.2664687700129742,-0.6439365099712134,0.17774270721448873,0.5297578644591594,-0.2572832307220197,-0.1964608719490016,-0.82547421456788,0.5297578644591594
9782764318812,TinkerBell - My Busy Books (Disney Fairies),phidal,2011-01-01,,,-0.4403483447849264,0.6313337972374532,,,,-2.523806233629822,-0.259389666207908,,-0.06910572943650775,-2.523806233629822
9781445494708,Disney Pixar Cars My Storybook Library: with Lightning toy!,parragon,2013-08-30,board book,,-0.32148655888141325,-0.3461612677020039,-1.3731323353515423,-1.6676726373348632,1.4375850908214924,,,,,
9781784456665,On the Farm (Junior Press Out and Build Gift Box),gardners_vi_books_ams006,,hardcover,,,0.11465783434088314,1.2490825383422535,1.689741543803989,1.8339399980236957,,,-0.0508644164144791,,
9780794516000,See Under The Ground (See Inside Science),usborne,2007-01-01,hardcover,preadolescence,-0.40468980901387247,0.9217894736766062,0.8890835472080204,1.0898101573381942,0.10696504521409518,-0.042785403932524495,-0.2520873565234952,-0.27578808875368543,-0.517485557955145,-0.042785403932524495
9781419741869,Rodrick Rules: A hilariously awkward sibling showdown from the #1 international bestselling Diary of a Wimpy Kid series (Book 2),amulet_books,2008-02-01,kindle,preadolescence,0.8314727643826637,-0.024984317793325023,-0.44424604958543507,-0.6989760867111944,0.4608533552160625,0.33891010832859864,3.0009511788500123,-0.5225838743682573,-0.8248166139774133,0.33891010832859864
9781409582588,Lift-the-flap Opposites,gardners_vi_books_ams006,2015-01-01,board book,,-0.40468980901387247,1.5920718039208057,0.5157512601058529,1.0843061996641963,0.05034291561378036,0.33891010832859864,-0.23467415650681853,0.25958901231496245,-0.4095333753094465,0.33891010832859864
9782764316375,Thomas Sliding Puzzle Book,phidal,1925-01-01,paperback,,,0.7877330076277665,0.4090848923623764,1.1723695224481663,0.7156529384174789,-3.2871972581520685,-0.26135567266140375,3.00274375638804,,-3.2871972581520685
9781405234788,Thomas & Friends: 'Arry and Bert (Thomas Story Library),egmont,2008-01-01,paperback,,-0.30960038029106196,-0.8432873292997849,-1.3731323353515423,-0.7375037904291813,-0.7282113663905477,0.14806235219803623,-0.2596705242726931,0.38494560183347515,2.5522538050409898,0.14806235219803623
9780545647717,"Sweet Child of Mine: A Caroline Jayne Church Treasury by Church, Caroline Jayne (2014) Hardcover",cartwheel_books,2014-08-26,kindle,toddler,-0.3452589160621159,1.5920718039208057,-0.3331352498526471,0.12661756438852342,0.10696504521409518,0.5297578644591594,-0.19310716291862262,-0.2943957075103396,-0.6787610104072846,0.5297578644591594
9781481491754,Hero School: Ready-to-Read Level 1 (PJ Masks),simon_spotlight,2017-07-04,kindle,preschool,-0.30960038029106196,-0.8090750020269039,0.00019714934571674511,-0.4237782030112885,-0.5300339127894461,0.14806235219803623,-0.24534676296865263,-0.35968559788456494,-0.5552964995471875,0.14806235219803623
9780718197834,Peppa Pig Theatre Show Activity Book,ladybird,2013-01-03,paperback,,-0.3571450946524672,-0.35314337530871426,1.3735266340429757,1.4530713638220702,-0.671589236790233,0.5297578644591594,-0.24759362748693348,-0.1654481740212446,-0.6926741238966949,0.5297578644591594
9781409562108,Lift The Flap Questions & Answers Body,usborne,2013-01-01,hardcover,,-0.41657598760422376,1.5920718039208057,0.9513055950583819,0.9522112154882413,0.10696504521409518,0.5297578644591594,-0.14114842093337773,0.15741033387929973,-0.39574151375615213,0.5297578644591594
9781407581712,"Disney 3d Story and Activity: Toy Story 2""",parragon,,paperback,,,-0.8656300736412582,,,,,,,,
9780761149613,Brain Quest Workbook: Pre-K,workman,2008-07-09,paperback,toddler,1.4020093367195265,1.0223318232132361,1.2224159464063842,0.8146122736382883,0.10696504521409518,0.5297578644591594,0.8987285639334828,-0.11517495843309103,-0.7718674773972757,0.5297578644591594
9781445461830,Disney Mini Character - Minnie Mouse,parragon,,board book,,,-0.7022487556442347,-2.110908045577254,-1.6896884680308557,-0.06290134358684914,,,-0.20788660276449103,,
9781488930294,Inkredibles Disney Princess Water Wonder,hinkler,,paperback,toddler,,-0.6184634643637098,0.44464034827686855,-0.49532965277326396,0.10696504521409518,0.14806235219803623,-0.24057217586730578,,,0.14806235219803623
9781407583846,Toy Story 3 (Disney Classic Storybook Collection),parragon,2010-01-01,hardcover,toddler,0.09452969178088258,0.18447891040798722,,,,-1.7604152091075769,-0.251525640393925,-0.2451018402777995,1.8475116087903285,-1.7604152091075769
9780375831652,Hog and Dog (Step into Reading),random_house_books_for_young_readers,2005-11-22,library binding,preschool,-0.30960038029106196,-0.8090750020269039,0.00019714934571674511,-0.4237782030112885,-0.7706779635907839,-0.2336331600630852,-0.26037266943465587,-0.1807912982591875,-0.629851966491334,-0.2336331600630852
9781741835564,School Zone Crosswords Activity Zone Book,hinkler,2009-05-01,paperback,,-0.11942152284544101,-0.4020181285556871,0.8313059313469703,0.9522112154882413,-0.7282113663905477,,,,,
9780679800927,"Five Silly Fishermen (Step-Into-Reading, Step 2)",random_house_books_for_young_readers,1989-10-17,hardcover,preschool,-0.30960038029106196,-0.811169634308917,0.00019714934571674511,-0.4237782030112885,-0.7989890283909412,0.14806235219803623,-0.2439424726447271,-0.2496721326039953,-0.8027970985247932,0.14806235219803623
9780439690546,The Second Captain Underpants Collection (Books 5-7 & The Adventures of Super Diaper Baby),scholastic,2004-10-01,paperback,preadolescence,2.620342642230536,0.6201624250667166,-0.555356849318223,-0.6989760867111944,1.5225182852219648,0.14806235219803623,-0.2561597984628793,-0.07306297914171571,-0.24081622182316484,0.14806235219803623
9781488925573,Art Maker Complete Calligraphy,hinkler,,paperback,,,0.6313337972374532,2.2979684878197717,1.4090397024300851,0.6024086792168496,,,-0.35935914843269384,,
9781445421179,Disney Sticker Scene Cars 2,parragon,2011-06-01,paperback,,-0.42846216619457506,-0.7022487556442347,0.7246395636034946,0.9301953847922493,-0.7282113663905477,,,-0.043682528473314296,,
9781101632895,Little Miss Birthday (Mr. Men and Little Miss),price_stern_sloan,2007-01-11,kindle,preschool,-0.30960038029106196,,,,,0.5297578644591594,-0.1412888499657703,-0.35968559788456494,,0.5297578644591594
9781405235068,Mr. Noisy and the Giant (Mr. Men & Little Miss Magic),egmont,2008-01-01,paperback,,-0.30960038029106196,-0.860742598316561,-1.5509096149240031,-0.9741739704111003,-0.671589236790233,0.5297578644591594,-0.25924923717551546,-0.3577269011733382,1.026778554237418,0.5297578644591594
9780916119676,"Mr. Noisy Learn to Read, Fun & Fantasy (Learn to Read Fun & Fantasy Series. Emergent Reader Level 2)",creative_teaching_press,1998-01-01,paperback,,-0.40468980901387247,-0.485803419836212,0.00019714934571674511,-0.14858031931138252,-0.6008115747898395,-0.8061764284547708,-0.26051309846704845,-0.478186748913784,,-0.8061764284547708
9781741843187,Cats and Kittens (100 Things You Should Know About),hinkler,,hardcover,,-0.4403483447849264,-0.5416602806898952,,,,,,0.6075841280095835,,
9781405244206,Hank (Thomas & Friends),egmont,2009-01-01,paperback,,-0.30960038029106196,-0.742744979763155,,,,0.33891010832859864,-0.2596705242726931,-0.3616442945957917,0.3627475148075177,0.33891010832859864
9780736431286,"ICE BOX, THE - FRIEN",penguin_random_house,2014-01-07,board book,toddler,-0.21451095156825148,0.1286220495543039,-0.44424604958543507,-0.49532965277326396,1.4517406232215708,0.33891010832859864,-0.19029858227077157,-0.2891725162804016,-0.33918731679613534,0.33891010832859864
9781789050004,BEAUTY AND THE BEAST: (Mini Movie Collection Disney),igloo,,hardcover,,,-0.22746543838792688,,,,,,-0.3162678207857051,,
9781407582993,Disney Mini Board Books -Toy Story: Counting Time,parragon,,board book,,-0.4403483447849264,-0.639409787183841,,,,,,-0.18111774771105862,,
9780753430620,Kingfisher Readers: Sharks (Level 4: Reading Alone),kingfisher,2012-01-01,paperback,,-0.30960038029106196,-0.7916197330101279,-0.008691714632906102,-0.456801949055277,-0.7848334959908626,0.9114533767202825,-0.2609343855642261,-0.3619707440476629,,0.9114533767202825
9782764334621,"Paw Patrol My Busy Books - Storybook, 10 figurines, playmat",phidal,2017-08-30,board book,,-0.4403483447849264,2.061269435091745,0.6001954679027716,0.8916676810742623,2.0038063868246403,0.5297578644591594,-0.1716215209625619,-0.06751333845990656,-0.8180579108987353,0.5297578644591594
9780545017152,Let's Go Visit The School (Barney),scholastic,2007-08-01,paperback,toddler,-0.3571450946524672,-0.8209445849583116,-0.3331352498526471,0.6770133317883353,-0.6008115747898395,,,-0.11876590240367346,2.113955638066478,
9780603564123,Henry and the Flagpole (Thomas & Friends),dean_&_son,2009-05-22,hardcover,,-0.30960038029106196,-0.8768014458119949,,,,0.9114533767202825,-0.2614961016937963,-0.37241712650753894,1.0662597139404626,0.9114533767202825
9781472325235,Disney Frozen,parragon,,hardcover,,,0.18447891040798722,0.9335278671011353,0.6494935434183448,-0.2893898619881083,-0.042785403932524495,-0.23341029521528556,-0.25456887438206216,1.0921601106186312,-0.042785403932524495
9781419741999,The Meltdown (Diary of a Wimpy Kid #13) (Volume 13),harry_n._abrams,2018-10-30,kindle,preadolescence,0.8314727643826637,-0.024984317793325023,-0.3331352498526471,-0.5888969332312319,0.390075693215669,0.5297578644591594,4.467591993157844,-0.35250370994340013,-0.825277862896557,0.5297578644591594
9781338864328,Captain Underpants and the Perilous Plot of Professor Poopypants: Color Edition (Captain Underpants #4): From the Creator of Dog Man,scholastic,2023-03-07,kindle,preadolescence,0.4511150494914219,1.5920718039208057,-0.22202445011985916,-0.5613771448612415,0.10696504521409518,0.5297578644591594,0.5798142313699932,-0.3404250802241685,-0.8220095224203512,0.5297578644591594
