isbn,title,series,year_quarter,q_num,q_since_first,trandate,marked_price,book_original_price,invoice,quantity,price,discount,disc_amt,amount,year,month,first_trandate
9781447279785,Andy Griffiths: The 13-Storey Treehouse (Export Edt),andy_griffiths,2022Q2,2,33,2022-06-28,89.000,95.00,30007507,40,80.385,68,0,"1,028.905","2,022",6,2014-01-03
9781447281580,Andy Griffiths: The 39-Storey Treehouse,andy_griffiths,2022Q2,2,33,2022-06-28,89.000,95.00,30007507,40,80.385,68,0,"1,028.905","2,022",6,2014-01-03
9781338784855,Cat Kid Comic Club #2: Perspectives HB,cat_kid,2022Q3,3,34,2022-07-07,129.900,129.90,30007494,72,101.972,75,0,"1,835.487","2,022",7,2014-01-03
9781338271492,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 1 (Color)",captain_underpants,2022Q3,3,34,2022-07-07,99.900,99.90,30007494,30,78.422,75,0,588.122,"2,022",7,2014-01-03
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2022Q3,3,34,2022-07-07,99.900,99.90,30007494,30,78.422,75,0,588.122,"2,022",7,2014-01-03
9781338792164,Dog Man:The Supa Buddies Mega Collection,dog_man,2022Q3,3,34,2022-07-07,"1,299.000",1299.00,30007494,40,"1,019.715",75,0,"10,197.150","2,022",7,2014-01-03
9780545870115,Captain Underpants: Color Collection (Book 1-3),captain_underpants,2022Q3,3,34,2022-07-07,389.000,299.00,30007494,25,235.265,75,0,"1,470.384","2,022",7,2014-01-03
9781338262476,Captain Underpants Epic Comix Collection #2: George and Harolds,captain_underpants,2022Q3,3,34,2022-07-07,99.900,99.90,30007494,30,78.422,75,0,588.122,"2,022",7,2014-01-03
9781338262469,Captain Underpants Epic Comix Collection #1: George And Harolds,captain_underpants,2022Q3,3,34,2022-07-07,99.900,99.90,30007494,30,78.422,75,0,588.122,"2,022",7,2014-01-03
9781447287599,Andy Griffiths: The 65-Storey Treehouse,andy_griffiths,2022Q3,3,34,2022-08-17,89.000,95.00,30007538,30,16.100,0,0,483.000,"2,022",8,2014-01-03
